;HDXTag;Value;Metric;geometry;Fecha;Hora
0;#punto−registrado-z1;1;numerico;POINT (-76.54087 3.45856);2020-02-25;13:59:14
1;#punto−registrado-z1;1;numerico;POINT (-76.54307 3.45470);2020-02-25;21:26:35
2;#punto−registrado-z1;1;numerico;POINT (-76.54014 3.45805);2020-02-25;13:47:05
3;#punto−registrado-z1;1;numerico;POINT (-76.54030 3.45793);2020-02-25;03:25:40
4;#punto−registrado-z1;1;numerico;POINT (-76.54303 3.45471);2020-02-25;13:46:30
5;#punto−registrado-z1;1;numerico;POINT (-76.53991 3.45847);2020-02-25;03:25:41
6;#punto−registrado-z1;1;numerico;POINT (-76.53400 3.47933);2020-02-25;13:50:01
7;#punto−registrado-z1;1;numerico;POINT (-76.53551 3.47988);2020-02-25;13:50:40
8;#punto−registrado-z1;1;numerico;POINT (-76.54649 3.46817);2020-02-25;13:56:15
9;#punto−registrado-z1;1;numerico;POINT (-76.54029 3.45780);2020-02-25;03:25:45
10;#punto−registrado-z2;1;numerico;POINT (-76.53396 3.47778);2020-02-25;13:49:38
11;#punto−registrado-z2;1;numerico;POINT (-76.54577 3.46938);2020-02-25;13:55:52
12;#punto−registrado-z2;1;numerico;POINT (-76.52835 3.47473);2020-02-24;18:23:32
13;#punto−registrado-z3;1;numerico;POINT (-76.53856 3.47093);2020-02-24;22:59:19
14;#punto−registrado-z3;1;numerico;POINT (-76.53540 3.46862);2020-02-25;22:55:56
15;#punto−registrado-z3;1;numerico;POINT (-76.53783 3.48078);2020-02-24;22:59:44
16;#punto−registrado-z3;1;numerico;POINT (-76.54030 3.45783);2020-02-25;03:25:46
17;#punto−registrado-z3;1;numerico;POINT (-76.53712 3.47037);2020-02-24;18:24:30
18;#punto−registrado-z3;1;numerico;POINT (-76.53751 3.47056);2020-02-25;03:25:44
19;#punto−registrado-z3;1;numerico;POINT (-76.53714 3.47020);2020-02-25;22:32:41
20;#punto−registrado-z3;1;numerico;POINT (-76.53731 3.47033);2020-02-25;13:48:58
21;#punto−registrado-z4;1;numerico;POINT (-76.54545 3.46639);2020-02-25;13:57:18
22;#punto−registrado-z4;1;numerico;POINT (-76.54518 3.46757);2020-02-25;13:56:38
23;#punto−registrado-z4;1;numerico;POINT (-76.54082 3.48030);2020-02-25;22:32:52
24;#punto−registrado-z4;1;numerico;POINT (-76.54516 3.46737);2020-02-25;22:33:01
25;#punto−registrado-z4;1;numerico;POINT (-76.54543 3.46637);2020-02-25;22:33:05
26;#punto−registrado-z4;1;numerico;POINT (-76.54649 3.46818);2020-02-25;22:57:17
27;#punto−registrado-z4;1;numerico;POINT (-76.54509 3.46556);2020-02-24;23:01:03
28;#punto−registrado-z4;1;numerico;POINT (-76.54503 3.46699);2020-02-24;23:01:27
29;#punto−registrado-z4;1;numerico;POINT (-76.54635 3.45624);2020-02-25;22:57:41
30;#punto−registrado-z5;1;numerico;POINT (-76.53866 3.46099);2020-02-25;13:47:44
31;#punto−registrado-z5;1;numerico;POINT (-76.54122 3.46152);2020-02-25;13:58:33
32;#punto−registrado-z6;1;numerico;POINT (-76.54189 3.46313);2020-02-25;13:57:56
33;#punto−registrado-z6;1;numerico;POINT (-76.54132 3.46300);2020-02-25;22:33:05
34;#punto−registrado-z6;1;numerico;POINT (-76.53698 3.48065);2020-02-25;22:32:45
35;#punto−registrado-z7;1;numerico;POINT (-76.53861 3.46334);2020-02-25;22:55:37
36;#punto−registrado-z7;1;numerico;POINT (-76.53798 3.46321);2020-02-25;03:25:42
37;#punto−registrado-z7;1;numerico;POINT (-76.53867 3.46086);2020-02-25;22:32:37
38;#punto−registrado-z7;1;numerico;POINT (-76.53868 3.46084);2020-02-25;22:55:18
39;#punto−registrado-z7;1;numerico;POINT (-76.53880 3.46025);2020-02-25;03:25:41
40;#punto−registrado-z7;1;numerico;POINT (-76.53764 3.46462);2020-02-25;13:48:24
41;#punto−registrado-z7;1;numerico;POINT (-76.53472 3.47647);2020-02-25;22:32:43
42;#punto−registrado-z7;1;numerico;POINT (-76.54371 3.48787);2020-02-24;23:00:08
43;#punto−registrado-z7;1;numerico;POINT (-76.53753 3.46452);2020-02-25;22:32:38
44;#punto−registrado-z8;1;numerico;POINT (-76.54547 3.47440);2020-02-25;13:55:12
45;#punto−registrado-z8;1;numerico;POINT (-76.54555 3.47434);2020-02-25;22:32:59
46;#punto−registrado-z8;1;numerico;POINT (-76.53862 3.48082);2020-02-25;22:32:48
47;#punto−registrado-z8;1;numerico;POINT (-76.53886 3.48078);2020-02-25;13:51:51
48;#punto−registrado-z8;1;numerico;POINT (-76.54375 3.48094);2020-02-25;13:53:50
49;#punto−registrado-z8;1;numerico;POINT (-76.54511 3.47726);2020-02-25;13:54:30
50;#punto−registrado-z8;1;numerico;POINT (-76.53605 3.48014);2020-02-25;22:32:21
51;#punto−registrado-z8;1;numerico;POINT (-76.54508 3.47733);2020-02-25;22:32:56
52;#punto−registrado-z8;1;numerico;POINT (-76.54752 3.47415);2020-02-25;22:56:54
53;#punto−registrado-z8;1;numerico;POINT (-76.54589 3.47689);2020-02-24;23:00:36
54;#punto−registrado-z8;1;numerico;POINT (-76.54050 3.48056);2020-02-25;13:52:32
55;#punto−registrado-z8;1;numerico;POINT (-76.54242 3.48096);2020-02-25;13:53:13
56;#punto−registrado-zx;1;numerico;POINT (-76.54902 3.47543);2020-02-25;22:56:34
57;#punto−registrado-zx;1;numerico;POINT (-76.52942 3.45869);2020-02-25;13:59:40
58;#punto−registrado-zx;1;numerico;POINT (-76.54150 3.45861);2020-02-25;22:33:05
59;#punto−registrado-zx;1;numerico;POINT (-76.54372 3.48095);2020-02-25;22:32:54
60;#punto−registrado-zx;1;numerico;POINT (-76.54393 3.48005);2020-02-25;22:56:16
61;#punto−registrado-zx;1;numerico;POINT (-76.54539 3.40045);2020-02-21;15:09:26
62;#punto−registrado-zx;1;numerico;POINT (-76.52827 3.47483);2020-02-24;18:14:06
63;#punto−registrado-zx;1;numerico;POINT (-76.52940 3.47997);2020-02-24;18:23:59
64;#punto−registrado-zx;1;numerico;POINT (-76.54374 3.45075);2020-03-12;14:12:27
65;#punto−registrado-zx;1;numerico;POINT (-76.55542 3.45354);2020-02-21;17:55:44
66;#punto−registrado-zx;1;numerico;POINT (-76.53795 3.48086);2020-02-25;13:51:07
