;HDXTag;Value;Metric;geometry;FECHA;HORA
0;#z1-abajo-salida-kioskos-0;1;Poligon ;POLYGON ((-76.5433239 3.4545799 0, -76.54239579999999 3.4545692 0, -76.5423744 3.4559132 0, -76.54331310000001 3.4559293 0, -76.5433239 3.4545799 0));2020-02-25;22:55:37
1;#z1-intermedio-cruce-bataclan-1;1;Poligon ;POLYGON ((-76.5304557 3.4756992 0, -76.5294633 3.4750888 0, -76.52926480000001 3.4754582 0, -76.5302197 3.4761276 0, -76.5304557 3.4756992 0));2020-02-25;03:25:42
2;#z2-abajo-salida-spiwak-0;1;Poligon ;POLYGON ((-76.5406681 3.457398 0, -76.5406627 3.4571088 0, -76.54010479999999 3.4571463 0, -76.5399171 3.4578853 0, -76.539901 3.4581102 0, -76.54014239999999 3.4583297 0, -76.5403945 3.458228 0, -76.54078610000001 3.4589348 0, -76.5411723 3.4589294 0, -76.54119919999999 3.4586349 0, -76.5417195 3.4586831 0, -76.54170879999999 3.4582976 0, -76.5406681 3.457398 0));2020-02-25;22:32:37
3;#z3-intermedio-cruce-bataclan-1;1;Poligon ;POLYGON ((-76.53515160000001 3.4763629 0, -76.53482440000001 3.4761434 0, -76.53457760000001 3.4760684 0, -76.534465 3.4764432 0, -76.534583 3.4769573 0, -76.53498 3.4769037 0, -76.53515160000001 3.4763629 0));2020-02-25;22:55:18
4;#z3-intermedio-cruce-bataclan-2;1;Poligon ;POLYGON ((-76.5376618 3.4707742 0, -76.5374365 3.4700513 0, -76.5370503 3.4700085 0, -76.5368947 3.4701584 0, -76.5367981 3.4705386 0, -76.5371361 3.4708331 0, -76.5376618 3.4707742 0));2020-02-25;13:47:44
5;#z3-intermedio-cruce-bataclan-3;1;Poligon ;POLYGON ((-76.53419220000001 3.477614 0, -76.5334519 3.4778443 0, -76.5338489 3.478112 0, -76.5341493 3.4779139 0, -76.53419220000001 3.477614 0));2020-02-25;03:25:41
6;#z3-intermedio-cruce-bataclan-4;1;Poligon ;POLYGON ((-76.5390417 3.4805358 0, -76.5385696 3.4805679 0, -76.53816190000001 3.4807232 0, -76.53827459999999 3.4810338 0, -76.5386018 3.4811409 0, -76.5391865 3.4809695 0, -76.5390417 3.4805358 0));2020-02-25;13:57:56
7;#z3-intermedio-cruce-bataclan-5;1;Poligon ;POLYGON ((-76.5409109 3.4801497 0, -76.5403262 3.4802193 0, -76.54036910000001 3.4807762 0, -76.5409968 3.4806263 0, -76.5409109 3.4801497 0));2020-02-25;22:33:05
8;#z3-intermedio-cruce-bataclan-6;1;Poligon ;POLYGON ((-76.54260960000001 3.4808275 0, -76.5421375 3.4807204 0, -76.5421429 3.4812612 0, -76.54259879999999 3.4813308 0, -76.54260960000001 3.4808275 0));2020-02-25;13:58:33
9;#z3-intermedio-cruce-bataclan-7;1;Poligon ;POLYGON ((-76.5438863 3.4806937 0, -76.5433767 3.4807097 0, -76.54353759999999 3.4812291 0, -76.54395599999999 3.4811863 0, -76.5438863 3.4806937 0));2020-02-25;22:32:52
10;#z3-intermedio-cruce-cruz-0;1;Poligon ;POLYGON ((-76.53899509999999 3.4613785 0, -76.5390058 3.4605646 0, -76.53830309999999 3.4605431 0, -76.5383245 3.4613892 0, -76.53899509999999 3.4613785 0));2020-02-25;22:32:48
11;#z7-intermedio-cruce-bataclan-0;1;Poligon ;POLYGON ((-76.5456683 3.474324 0, -76.5457863 3.474158 0, -76.5455449 3.4739706 0, -76.54526060000001 3.4740991 0, -76.5452713 3.4746774 0, -76.5456844 3.4745756 0, -76.5456683 3.474324 0));2020-02-25;13:51:51
12;#z7-intermedio-cruce-bataclan-1;1;Poligon ;POLYGON ((-76.5459984 3.4693004 0, -76.545596 3.4691879 0, -76.5454458 3.4695842 0, -76.5456228 3.4697876 0, -76.5459554 3.469702 0, -76.5459984 3.4693004 0));2020-02-25;13:57:18
13;#z7-intermedio-cruce-bataclan-2;1;Poligon ;POLYGON ((-76.54227969999999 3.4722001 0, -76.5419632 3.472152 0, -76.5417406 3.4722001 0, -76.5417218 3.4727115 0, -76.5423172 3.4726821 0, -76.54227969999999 3.4722001 0));2020-02-25;22:32:45
14;#z8-intermedio-cruce-cerro-1;1;Poligon ;POLYGON ((-76.5385952 3.4702601 0, -76.5382573 3.4703887 0, -76.5380749 3.4706457 0, -76.53818750000001 3.4711008 0, -76.53848259999999 3.4710794 0, -76.5387293 3.4707849 0, -76.5387561 3.4704904 0, -76.5385952 3.4702601 0));2020-02-25;13:48:24
15;#z8-intermedio-cruce-cerro-2;1;Poligon ;POLYGON ((-76.5416072 3.4620038 0, -76.5416233 3.4613077 0, -76.5406255 3.4613023 0, -76.5406201 3.4619877 0, -76.5416072 3.4620038 0));2020-02-25;22:55:56
16;#z8-intermedio-cruce-cerro-3;1;Poligon ;POLYGON ((-76.5421802 3.4628795 0, -76.54087130000001 3.4628848 0, -76.5408767 3.4637148 0, -76.5422178 3.4637148 0, -76.5421802 3.4628795 0));2020-02-24;22:59:44
17;#z8-arriba-cruce-cerro-0;1;Poligon ;POLYGON ((-76.53875979999999 3.4632533 0, -76.53774060000001 3.4629079 0, -76.5374697 3.4630311 0, -76.537577 3.4634219 0, -76.5387518 3.4635451 0, -76.53875979999999 3.4632533 0));2020-02-25;22:32:43
18;#z5-intermedio-cruce-bataclan-0;1;Poligon ;POLYGON ((-76.5377261 3.4643178 0, -76.53727550000001 3.4644623 0, -76.5374632 3.4649335 0, -76.5379729 3.4652013 0, -76.53767240000001 3.4654262 0, -76.5377422 3.4656832 0, -76.5378977 3.4657528 0, -76.538166 3.4656564 0, -76.538343 3.4652173 0, -76.5382518 3.4648961 0, -76.5377261 3.4643178 0));2020-02-24;23:00:08
19;#z6-intermedio-cruce-bataclan-0;1;Poligon ;POLYGON ((-76.54545709999999 3.477146 0, -76.5451352 3.4769479 0, -76.5448992 3.4772852 0, -76.54502789999999 3.4777296 0, -76.5453981 3.47766 0, -76.5453713 3.4774726 0, -76.54545709999999 3.477146 0));2020-02-25;13:53:50
20;#z4-arriba-llegada-cerro-0;1;Poligon ;POLYGON ((-76.544828 3.466216 0, -76.5448119 3.4685453 0, -76.5467001 3.4685668 0, -76.5467056 3.4662429 0, -76.544828 3.466216 0));2020-02-25;13:54:30
